Cross-Validated Accuracy,0.820454292395
Precision,0.854901960784,0.766013763896,0.970760233918,0.652173913043,0.913702239789,0.966989186113,0.963571428571,0.709219858156,0.644175013179
Recall,0.897119341564,0.960823373174,0.862337662338,0.631349782293,0.94161575017,0.969195664575,0.965640658554,0.316205533597,0.761845386534
Confusion Matrix
a,b,c,e,f,g,h,m,n
1090.0,10.0,0.0,68.0,0.0,0.0,0.0,56.0,51.0
4.0,1447.0,40.0,123.0,42.0,0.0,0.0,171.0,62.0
0.0,1.0,332.0,0.0,1.0,3.0,0.0,5.0,0.0
90.0,15.0,2.0,870.0,6.0,0.0,0.0,211.0,140.0
0.0,26.0,3.0,9.0,1387.0,0.0,0.0,43.0,50.0
0.0,0.0,0.0,0.0,0.0,1699.0,48.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,51.0,1349.0,0.0,0.0
9.0,7.0,4.0,66.0,0.0,0.0,0.0,400.0,78.0
22.0,0.0,4.0,242.0,37.0,0.0,0.0,370.0,1222.0
