Cross-Validated Accuracy,0.954125375793
Precision,0.996428571429,0.981770833333,0.965034965035,0.956824512535,0.99481865285,0.993189557321,0.977931034483,0.888888888889,0.866272189349
Recall,1.0,0.994722955145,0.901960784314,0.97171145686,0.997402597403,0.978747203579,0.991608391608,0.784073506891,0.938461538462
Confusion Matrix
a,b,c,e,f,g,h,m,n
558.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,754.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,138.0,0.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,687.0,0.0,0.0,0.0,28.0,3.0
0.0,2.0,1.0,0.0,768.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,875.0,6.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,16.0,709.0,0.0,0.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,512.0,44.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,732.0
