a,b,e,f,g,h,m,n
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.994974874372,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.951983298539,0.0,0.0,0.0,0.0523560209424,0.00164744645799
0.0,0.00502512562814,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0417536534447,0.0,0.0,0.0,0.900523560209,0.0345963756178
0.0,0.0,0.0062630480167,0.0,0.0,0.0,0.0471204188482,0.963756177924
344,597,479,572,638,523,382,607
