a,b,e,f,g,h,m,n
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.994974874372,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.951983298539,0.0,0.0,0.0,0.0523560209424,0.00329489291598
0.0,0.00502512562814,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0438413361169,0.0,0.0,0.0,0.910994764398,0.0362438220758
0.0,0.0,0.00417536534447,0.0,0.0,0.0,0.0366492146597,0.960461285008
344,597,479,572,638,523,382,607
